loss_train,loss_val,accuracy_val,accuracy_train
43.78744888,13.50559235,0.022678571,0.088541667
31.21824455,12.66122437,0.022678571,0.087053571
20.21052933,9.345337868,0.254821429,0.357886905
16.04405594,6.836761475,0.364196429,0.438988095
14.18396187,4.826020241,0.359732143,0.445684524
13.01632977,4.311025143,0.364196429,0.444196429
12.36611462,4.000244617,0.370892857,0.444940476
11.88402843,3.777779102,0.364196429,0.444196429
11.30494785,3.784419775,0.359732143,0.444196429
10.80432892,3.484645605,0.364196429,0.44047619
10.56978703,3.348947287,0.361964286,0.445684524
9.849003792,3.384828568,0.353035714,0.447172619
10.03117752,3.031050682,0.426696429,0.514880952
9.232785225,2.970544815,0.426696429,0.52827381
8.633711815,2.80252409,0.435625,0.526785714
8.66169548,2.678610325,0.437857143,0.520833333
8.095125198,2.675056219,0.435625,0.524553571
8.658652306,2.671078205,0.478035714,0.624255952
8.151630402,2.591219902,0.486964286,0.62797619
7.671889305,2.654765606,0.491428571,0.638392857
7.760356426,2.516209364,0.495892857,0.646577381
7.25089407,2.456389666,0.500357143,0.639880952
7.274808884,2.432806969,0.509285714,0.645833333
7.247090816,2.456678629,0.495892857,0.642857143
7.472010136,2.438395739,0.511517857,0.647321429
7.065989494,2.390034914,0.518214286,0.666666667
6.736148834,2.299484968,0.545,0.6875
6.654901505,2.335955858,0.538303571,0.682291667
6.494052887,2.327520847,0.553928571,0.694940476
6.424627781,2.204708815,0.578482143,0.712053571
6.245383263,2.120402098,0.578482143,0.718005952
6.579329491,2.143679142,0.587410714,0.711309524
5.921653271,2.106320143,0.580714286,0.701636905
5.875062466,2.076789379,0.569553571,0.718005952
5.769255161,1.977030277,0.582946429,0.72172619
5.756186008,1.897841454,0.600803571,0.718005952
5.387173653,1.877271175,0.623125,0.742559524
5.523442268,1.860871792,0.625357143,0.752232143
5.48290062,1.882519722,0.623125,0.751488095
5.063843727,1.94878304,0.605267857,0.747767857
5.238362312,1.863529682,0.611964286,0.748511905
4.846870899,1.844504595,0.591875,0.733630952
5.163581371,1.725119829,0.605267857,0.733630952
4.848918915,1.778918624,0.600803571,0.741815476
4.873309135,1.76023674,0.596339286,0.743303571
4.70077467,1.719457865,0.594107143,0.735119048
4.581861496,1.632094383,0.609732143,0.743303571
4.646800995,1.551184773,0.636517857,0.769345238
4.413144112,1.557495832,0.623125,0.774553571
4.216182232,1.605489969,0.6075,0.759672619
4.536476135,1.564921498,0.623125,0.770833333
4.266643524,1.506095171,0.661071429,0.788690476
4.226664543,1.50829041,0.685625,0.797619048
4.033312798,1.430208445,0.663303571,0.792410714
4.076192856,1.556780338,0.654375,0.765625
4.014771938,1.416529536,0.649910714,0.796875
4.175579071,1.456654787,0.694553571,0.802827381
4.237119198,1.484568119,0.676696429,0.797619048
3.794310808,1.433729768,0.690089286,0.802827381
3.928175449,1.454766631,0.690089286,0.806547619
3.759982109,1.38144958,0.67,0.819940476
3.946344852,1.454177141,0.67,0.822916667
3.913936377,1.444777489,0.694553571,0.825892857
3.689623594,1.399347305,0.690089286,0.82514881
3.559425354,1.403144956,0.685625,0.813988095
3.655969858,1.3066504,0.703482143,0.808035714
3.743839979,1.296860695,0.716875,0.829613095
3.543045521,1.348626256,0.703482143,0.824404762
3.259717464,1.277488232,0.714642857,0.845238095
3.355859756,1.339617848,0.739196429,0.841517857
3.510654688,1.327381968,0.748125,0.854910714
3.471938133,1.249301314,0.743660714,0.848214286
3.388926744,1.142444968,0.736964286,0.854166667
3.270942211,1.175936341,0.723571429,0.835565476
3.294610739,1.200660825,0.705714286,0.838541667
2.941775799,1.166129827,0.748125,0.863095238
3.060010672,1.090084791,0.772678571,0.874255952
2.933597326,1.160776258,0.777142857,0.879464286
2.991572142,1.295334578,0.739196429,0.865327381
3.07770586,1.144816756,0.757053571,0.873511905
3.252720833,1.269988179,0.754821429,0.877232143
3.22385788,1.298410416,0.741428571,0.854166667
2.940393925,1.158282638,0.76375,0.879464286
2.915931463,1.141949415,0.779375,0.883928571
2.91193819,1.12046957,0.757053571,0.87797619
2.901645899,1.3172369,0.734732143,0.854910714
2.862923622,1.239170909,0.736964286,0.868303571
2.96462059,1.139209509,0.772678571,0.881696429
2.855273247,1.196696997,0.761517857,0.859375
2.775137901,1.060738325,0.786071429,0.882440476
2.581025124,1.163626671,0.788303571,0.892113095
2.720998049,1.131928563,0.774910714,0.881696429
2.51406455,1.155756593,0.754821429,0.877232143
2.615191936,1.054935932,0.788303571,0.897321429
2.667748928,1.151791453,0.783839286,0.892857143
2.522507668,1.050353646,0.783839286,0.901041667
2.523994684,1.076305628,0.781607143,0.901041667
2.525652885,1.126137614,0.788303571,0.90625
2.20672822,1.019436598,0.792767857,0.911458333
2.554066658,0.972436845,0.799464286,0.910714286
2.392321587,0.999552548,0.797232143,0.906994048
2.420635462,1.01360333,0.801696429,0.90922619
2.156074047,0.917246401,0.806160714,0.904761905
2.344974279,0.873305261,0.803928571,0.912202381
2.190075874,1.164536595,0.799464286,0.918154762
2.246005297,1.170466781,0.792767857,0.895833333
2.708367109,1.15736866,0.788303571,0.885416667
2.624190569,1.128836513,0.803928571,0.906994048
2.347093344,0.767304003,0.824017857,0.924107143
2.474240541,1.060872436,0.792767857,0.913690476
2.51896286,1.199378014,0.770446429,0.876488095
2.778910398,1.26122117,0.770446429,0.875744048
2.154053926,1.156578302,0.797232143,0.888392857
2.597356319,1.221477151,0.786071429,0.892857143
2.180002689,0.998577356,0.830714286,0.916666667
2.900272608,1.188083172,0.797232143,0.891369048
2.328331709,1.236660719,0.772678571,0.896577381
2.316125393,1.126413941,0.779375,0.895089286
